Clase,Sexo,Edad,Sobrevivio,V6
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
2nd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
3rd,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
Cre,Masculino,Adulto,No, 
