Experiment,Student,Problem,"Times
Speaking","Total Speech
Duration","Times Speaking
About Numbers",Average Distance to table center,Movement amount,totalStrokes,averagePathLength,averageLength,averageTimeLength,leader,expert 
G1D1,S3,1A,9,10,0,139.82663,1944366,7,47.055858886535816,18.483885988649327,220,0,0 
G1D1,S3,2A,9,16,3,131.08305,574646,20,45.5529796027112,30.498576469967396,221,0,0 
G1D1,S3,3A,15,15,5,141.32324,415412,11,38.20648574493375,17.6485196403715,234,0,0 
G1D1,S3,4A,11,13,3,141.08113,173700,5,46.99002973989034,9.166703558038638,885,0,0 
G1D1,S3,3B,25,51,8,156.56528,105363,24,58.919650512442566,24.35473528736843,186,0,0 
G1D1,S3,4B,31,29,7,147.10056,18195,43,49.11242936401779,26.45094052296323,273,0,0 
G1D1,S3,2C,9,16,3,128.29803,82428,4,160.1605720654365,17.220178129091046,739,0,0 
G1D1,S3,3C,24,25,9,134.99321,2078,24,74.79803193134875,33.267307500610116,526,0,0 
G1D1,S3,4C,37,35,6,135.30937,62750,14,124.3966492708981,42.524294045973654,623,0,0 
G3D1,S9,3A,20,22,3,139.64049,1264427,39,36.23352846310321,24.72519610287157,458,0,0 
G3D1,S9,4A,35,58,9,143.78674,745195,65,51.245514833798126,21.72289555835837,428,0,0 
G3D1,S9,1B,18,20,4,144.76056,13878,77,47.895203729830556,18.174905221603165,390,0,0 
G3D1,S9,2B,19,20,5,74.60692,29780,96,41.09436104000291,15.099199686769667,386,0,0 
G3D1,S9,3B,26,57,12,109.6251,31105,78,34.71215119774674,14.911245391445345,314,0,0 
G3D1,S9,4B,47,60,10,109.478134,5512,97,36.770568818297406,20.702616300128994,334,0,0 
G3D1,S9,1C,29,50,5,128.67955,748739,76,38.623217201538324,21.018969129030165,256,0,0 
G3D1,S9,2C,36,55,11,121.6411,6215,59,48.80387742841642,22.719856105060817,369,0,0 
G3D1,S9,3C,52,74,13,110.6073,53837,84,38.4285863166834,12.853221185716599,419,0,0 
G3D1,S9,4C,71,123,22,117.547455,0,90,43.592653216646326,24.094985027503654,301,0,0 
G3D1,S9,1D,13,23,3,153.5135,0,36,54.04045865705163,34.851536523689745,472,0,0 
G3D1,S9,2D,13,15,2,139.51112,0,42,39.699893362607064,20.61755604467026,329,0,0 
G3D1,S9,3D,19,44,8,141.40431,0,37,69.3356379422477,37.33920780885991,698,0,0 
G3D1,S9,4D,29,42,4,131.5172,0,55,49.26375410327746,28.83672537728453,598,0,0 
G4D2,S10,1A,18,24,2,123.6075,2174076,8,17.557581731826485,6.446701030130824,423,1,0 
G4D2,S10,2A,50,71,14,117.48909,675041,23,40.88916194449605,31.675405977596157,588,1,0 
G4D2,S10,3A,34,44,6,114.1974,411549,6,65.96348599335623,39.503502782940664,1030,1,0 
G4D2,S10,4A,33,67,16,105.29928,233912,16,24.864862332181726,15.59569605604096,332,1,0 
G4D2,S10,1B,24,42,8,117.961845,108866,15,34.9445787475507,15.110211694337933,403,1,0 
G4D2,S10,2B,15,31,5,113.26423,0,7,32.67590496294556,5.129951337370652,445,1,0 
G4D2,S10,3B,30,58,8,109.036865,530,13,24.46367880426322,10.358671109633674,323,1,0 
G4D2,S10,4B,44,94,19,118.822754,214939,19,25.371630912498457,17.12182544520814,430,1,0 
G4D2,S10,1C,24,77,10,145.94933,107547,15,28.386492056408517,8.735663455425016,378,1,0 
G4D2,S10,2C,18,46,10,146.39073,0,14,28.118537284813037,15.732966424092334,411,1,0 
G4D2,S10,4C,26,73,9,133.56032,24568,16,27.016267465080055,11.14478327975455,317,1,0 
G4D2,S10,3D,24,68,7,131.29521,0,11,56.40341422068865,33.49113668744467,567,1,0 
G4D2,S10,4D,44,56,7,133.81398,11910,2,29.5213271057198,13.640511286867786,533,1,0 
G4D2,S11,1A,14,33,5,135.2255,2614244,6,220.9831526415019,27.455611299618642,1213,0,0 
G4D2,S11,2A,32,47,9,119.67013,652838,101,52.85549725214667,16.398018467952106,471,0,0 
G4D2,S11,3A,13,27,2,111.27957,492469,47,53.9570216500771,12.926087441134607,543,0,0 
G4D2,S11,4A,25,41,9,107.90623,127534,55,35.7086813777109,15.395698733230175,238,0,0 
G4D2,S11,3B,18,37,7,120.17106,29461,23,74.80591036658217,10.678191936769663,657,0,0 
G4D2,S11,4B,26,62,8,120.05122,34993,117,28.890146614609634,9.155882099662358,301,0,0 
G4D2,S11,1C,10,22,3,130.14876,91303,55,42.45364854134994,10.736622198402266,469,0,0 
G4D2,S11,2C,11,7,2,120.3249,45410,38,52.21201866133972,14.479685301102927,484,0,0 
G4D2,S11,3C,10,11,4,128.52692,25093,11,32.127460832941246,11.950953067671117,394,0,0 
G4D2,S11,4C,19,26,2,111.699066,92793,49,70.75605985995348,17.25943925345769,556,0,0 
G4D2,S11,1D,29,67,11,136.14969,33164,63,65.77523494486348,16.55962123124429,420,0,0 
G4D2,S11,2D,14,18,2,128.16188,790,6,17.747238328095527,10.241439710272127,195,0,0 
G4D2,S11,3D,26,44,10,121.32839,373,32,100.3176852671999,21.079959819584754,821,0,0 
G4D2,S11,4D,36,83,5,127.16055,21306,53,86.03240165520755,17.660224951553513,491,0,0 
G4D2,S12,2A,60,121,24,137.16429,1130340,18,38.15261684551729,15.145071190791729,500,0,1 
G4D2,S12,3A,26,63,10,120.76042,1103512,14,30.281762785038932,15.352308601709423,277,0,1 
G4D2,S12,1B,18,36,8,139.09828,72786,8,49.51341670761094,37.174570680524894,296,0,1 
G4D2,S12,2B,15,32,5,111.82472,2696,1,1.4577379737113252,1.4577379737113252,80,0,1 
G4D2,S12,3B,34,60,12,94.08372,20640,27,60.53777836261803,22.185522297441683,372,0,1 
G6D2,S16,1A,10,14,4,138.02988,4625145,13,19.67945995711645,7.632898509261636,272,1,0 
G6D2,S16,2A,17,24,1,132.66895,870044,19,31.730650957769214,23.670316930290767,267,1,0 
G6D2,S16,3A,14,30,5,128.68794,309438,30,31.539978420152938,20.316254435685078,314,1,0 
G6D2,S16,4A,23,43,10,142.11644,316208,20,46.53110659751984,14.299931152457578,303,1,0 
G6D2,S16,1B,13,18,4,134.19392,2879,16,26.328941137717905,13.333972101306296,288,1,0 
G6D2,S16,2B,17,29,4,132.58165,185718,18,22.600896607349014,6.255274634782497,282,1,0 
G6D2,S16,3B,21,42,8,117.8382,74600,21,40.36011184672975,22.66639319650669,333,1,0 
G6D2,S16,4B,31,51,13,137.80144,350296,45,25.549423893822183,14.102443524869052,281,1,0 
G6D2,S16,1C,30,75,8,138.48799,15374,28,25.586632114397727,9.361000668412645,231,1,0 
G6D2,S16,2C,11,16,4,134.51772,100697,40,18.888792112470043,10.388306033998967,249,1,0 
G6D2,S16,3C,20,38,10,142.14716,15593,28,29.467450246593614,9.41975405511314,272,1,0 
G6D2,S16,4C,33,75,11,134.18529,35793,68,29.46195003947445,15.747835216417176,288,1,0 
G6D2,S16,1D,21,39,7,155.24992,2756,27,36.877094204227554,23.756693150212836,245,1,0 
G6D2,S16,2D,11,18,4,137.66264,0,30,32.002041418004765,10.232649736603594,265,1,0 
G6D2,S16,3D,18,54,6,150.25171,454,22,73.29738474080972,66.45773812205806,314,1,0 
G6D2,S16,4D,30,51,11,138.4713,5279,50,42.65723546388088,16.591923124742106,318,1,0 
G6D2,S17,1A,3,2,2,114.26133,2188244,13,69.13885815134043,20.93958590790563,750,0,1 
G6D2,S17,2A,7,13,2,103.55009,953648,33,39.248102325934944,16.481466034171792,552,0,1 
G6D2,S17,3A,9,9,4,105.65513,492850,13,54.906833549789795,16.87525389519535,758,0,1 
G6D2,S17,4A,20,14,5,121.31007,245602,16,56.32784285857867,16.511156637664683,501,0,1 
G6D2,S17,1B,9,10,1,148.1957,301031,20,24.58503119893225,8.674673880428406,418,0,1 
G6D2,S17,2B,17,18,5,146.9347,190045,24,21.59281747917215,6.863233515486282,190,0,1 
G6D2,S17,3B,9,8,3,132.13782,176559,65,39.99663889819703,13.991901262237723,373,0,1 
G6D2,S17,4B,21,61,11,126.681526,74127,94,27.336737140435424,10.412698309488206,335,0,1 
G6D2,S17,1C,15,27,6,135.33664,58353,70,36.38519549720084,10.850152475672838,297,0,1 
G6D2,S17,2C,4,2,2,129.56862,30389,29,20.30163171287639,10.340399395832657,205,0,1 
G6D2,S17,3C,15,15,4,125.60809,25535,57,32.21099851133506,10.368752673308325,267,0,1 
G6D2,S17,4C,25,23,9,122.98907,47316,110,33.63192765410757,13.9392352893973,324,0,1 
G6D2,S17,1D,18,27,1,146.41422,32930,20,63.12426789541756,36.52011573603761,526,0,1 
G6D2,S17,2D,9,5,4,113.45611,0,34,28.85994326740223,9.045751101314425,209,0,1 
G6D2,S17,3D,15,17,5,120.49739,0,26,104.38243496834929,37.874946896492354,607,0,1 
G6D2,S17,4D,28,57,11,115.88879,27614,43,47.04933870680368,18.809020416569943,430,0,1 
G6D2,S18,2A,12,18,5,151.74124,974937,13,45.19963121364429,24.38898015728502,424,0,0 
G6D2,S18,2B,12,21,10,142.08925,56856,15,25.066576423471172,8.708321084692624,158,0,0 
G6D2,S18,3B,9,18,5,140.19324,336064,23,62.67898872219545,12.628829066676321,280,0,0 
G6D2,S18,4B,21,15,7,137.99501,39336,31,35.31317075296377,20.61557578083288,285,0,0 
G6D2,S18,1C,10,15,3,140.74693,18005,45,23.273041274218016,10.397257824784361,179,0,0 
G6D2,S18,2C,8,25,7,138.80435,0,22,34.67203216702085,14.251828417365772,254,0,0 
G6D2,S18,3C,11,24,5,141.4347,6316,18,34.9108009338849,12.629469216362201,272,0,0 
G6D2,S18,4C,18,25,7,134.34747,17511,46,45.34295201314604,27.923595527134935,339,0,0 
G6D2,S18,1D,10,20,1,158.80893,67970,16,44.236017441463204,31.19250963063501,236,0,0 
G6D2,S18,2D,9,8,2,163.68744,11098,27,36.20727336859334,11.765233670029291,249,0,0 
G6D2,S18,3D,4,8,2,161.6716,19971,34,55.122370159245364,43.80649295034754,254,0,0 
G6D2,S18,4D,12,19,6,153.00003,90291,45,33.99322026219426,13.744591225018578,222,0,0 
